"Colname","Method","Statistic","P"
"MSSubClass","Wilcoxon signed rank test with continuity correction",4261740,0
"LotFrontage","Wilcoxon signed rank test with continuity correction",4261740,0
"LotArea","Wilcoxon signed rank test with continuity correction",4261740,0
"OverallQual","Wilcoxon signed rank test with continuity correction",4261740,0
"OverallCond","Wilcoxon signed rank test with continuity correction",4261740,0
"YearBuilt","Wilcoxon signed rank test with continuity correction",4261740,0
"YearRemodAdd","Wilcoxon signed rank test with continuity correction",4261740,0
"MasVnrArea","Wilcoxon signed rank test with continuity correction",697971,1.01677292837776e-194
"BsmtFinSF1","Wilcoxon signed rank test with continuity correction",1981045,0
"BsmtFinSF2","Wilcoxon signed rank test with continuity correction",60726,8.64062650893693e-59
"BsmtUnfSF","Wilcoxon signed rank test with continuity correction",3587181,0
"TotalBsmtSF","Wilcoxon signed rank test with continuity correction",4037061,0
"X1stFlrSF","Wilcoxon signed rank test with continuity correction",4261740,0
"X2ndFlrSF","Wilcoxon signed rank test with continuity correction",783126,3.93413017511649e-206
"LowQualFinSF","Wilcoxon signed rank test with continuity correction",820,3.69257908980198e-08
"GrLivArea","Wilcoxon signed rank test with continuity correction",4261740,0
"BsmtFullBath","Wilcoxon signed rank test with continuity correction",737505,1.81106588837493e-257
"BsmtHalfBath","Wilcoxon signed rank test with continuity correction",15753,3.61371986670708e-39
"FullBath","Wilcoxon signed rank test with continuity correction",4226778,0
"HalfBath","Wilcoxon signed rank test with continuity correction",589155,9.16575218797816e-233
"BedroomAbvGr","Wilcoxon signed rank test with continuity correction",4238416,0
"KitchenAbvGr","Wilcoxon signed rank test with continuity correction",4252986,0
"TotRmsAbvGrd","Wilcoxon signed rank test with continuity correction",4261740,0
"Fireplaces","Wilcoxon signed rank test with continuity correction",1124250,2.37978652362157e-290
"GarageYrBlt","Wilcoxon signed rank test with continuity correction",4261740,0
"GarageCars","Wilcoxon signed rank test with continuity correction",3815703,0
"GarageArea","Wilcoxon signed rank test with continuity correction",3815703,0
"WoodDeckSF","Wilcoxon signed rank test with continuity correction",975106,8.4828711717797e-230
"OpenPorchSF","Wilcoxon signed rank test with continuity correction",1314631,1.85513557221693e-266
"EnclosedPorch","Wilcoxon signed rank test with continuity correction",105570,6.23414084054618e-77
"X3SsnPorch","Wilcoxon signed rank test with continuity correction",703,1.18292324085092e-07
"ScreenPorch","Wilcoxon signed rank test with continuity correction",32896,9.590337637029e-44
"PoolArea","Wilcoxon signed rank test with continuity correction",91,0.00166169445798351
"MiscVal","Wilcoxon signed rank test with continuity correction",5356,1.15800711519797e-18
"MoSold","Wilcoxon signed rank test with continuity correction",4261740,0
"YrSold","Wilcoxon signed rank test with continuity correction",4261740,0
"SalePrice","Wilcoxon signed rank test with continuity correction",4261740,0
